GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
musicHubLibrary,musichub.util,Chanson,8,62,0,0,3,15,2,7,2,7
musicHubLibrary,musichub.util,EmptyFichException,4,0,0,0,2,0,1,0,1,0
musicHubLibrary,musichub.util,Langue,70,0,0,0,6,0,3,0,3,0
musicHubLibrary,musichub.util,LivreAudio,74,0,0,0,20,0,10,0,10,0
musicHubLibrary,musichub.util,Categorie,70,0,0,0,6,0,3,0,3,0
musicHubLibrary,musichub.util,Genre,3,78,0,0,1,5,1,2,1,2
musicHubLibrary,musichub.business,Playlist,27,0,0,0,6,0,3,0,3,0
musicHubLibrary,musichub.business,SortByAuthor,9,0,0,0,2,0,2,0,2,0
musicHubLibrary,musichub.business,Server,114,0,0,0,46,0,7,0,7,0
musicHubLibrary,musichub.business,Album,63,0,0,0,16,0,7,0,7,0
musicHubLibrary,musichub.business,SortByDate,9,0,0,0,2,0,2,0,2,0
musicHubLibrary,musichub.business,Gestion,3,0,0,0,1,0,1,0,1,0
musicHubLibrary,musichub.business,SortByGenre,9,0,0,0,2,0,2,0,2,0
musicHubLibrary,musichub.business,Options,127,0,5,0,33,0,10,0,6,0
musicHubLibrary,musichub.business,Client,95,0,0,0,41,0,7,0,7,0
musicHubLibrary,musichub.main,Son,111,3,12,0,25,1,12,1,6,1
musicHubLibrary,musichub.main,ServerConsole,433,0,15,0,126,0,21,0,9,0
musicHubLibrary,musichub.main,MusicHub,2997,182,221,21,638,40,152,9,21,4
musicHubLibrary,musichub.main,MusicHubConsole,278,0,21,0,98,0,20,0,5,0
musicHubLibrary,musichub.main,FileXML,1049,0,48,0,262,0,37,0,13,0
